component_id,arm,n_attempts,n_unique,unique_fraction,mean_position_entropy_nats,mean_pairwise_hamming_fraction,developability_pass_fraction_at_0_55,mean_full_heavy_developability_risk,mean_native_recovery,unique_fraction_seed_std,position_entropy_seed_std
V2C009,stage_a_antibody_bfn,24,20,0.8333333333333334,2.358467370248282,0.9259510869565217,0.5416666666666666,0.5325833333333333,0.15625,0.0,0.016544028650016362
V2C009,proteinmpnn,24,17,0.7083333333333334,0.30826286042572104,0.18795289855072464,1.0,0.4458875,0.3203125,0.10206207261596575,0.03772098877043202
V2C009,esm_if,24,1,0.041666666666666664,0.0,0.0,0.0,0.7140999999999998,0.0,0.0,0.0
V2C010,current_bfn_disorder_on,24,20,0.8333333333333334,2.3929906673837382,0.9332298136645962,0.5833333333333334,0.49689999999999995,0.07142857142857142,0.0,0.035251886680204264
V2C010,current_bfn_disorder_off,24,20,0.8333333333333334,2.2945216251142155,0.9122670807453417,0.625,0.4915791666666667,0.1517857142857143,0.0,0.02976934638578416
V2C010,stage_a_antibody_bfn,24,20,0.8333333333333334,2.376660146708614,0.9283126293995861,0.5,0.5138166666666667,0.10416666666666667,0.0,0.03033553437515839
V2C010,proteinmpnn,24,17,0.7083333333333334,0.3717804529026067,0.24094202898550723,1.0,0.4267541666666667,0.42857142857142855,0.10206207261596575,0.002878021698020219
V2C010,esm_if,24,5,0.20833333333333334,0.17256484225240848,0.10144927536231883,0.75,0.48465833333333336,0.1428571428571429,0.10206207261596575,0.0658740431862618
V2C011,current_bfn_disorder_on,24,20,0.8333333333333334,2.400511022532334,0.9338768115942029,0.5,0.49065833333333336,0.07708333333333335,0.0,0.018697813988722473
V2C011,current_bfn_disorder_off,24,20,0.8333333333333334,2.3667622501905647,0.927536231884058,0.5833333333333334,0.47923333333333334,0.13958333333333336,0.0,0.020582438633832825
V2C011,stage_a_antibody_bfn,24,20,0.8333333333333334,2.3150457124002863,0.9121376811594203,0.5416666666666666,0.4967916666666667,0.1729166666666667,0.0,0.041919566734239404
V2C011,proteinmpnn,24,21,0.875,0.4157606995015432,0.2739130434782609,1.0,0.45460416666666664,0.3916666666666666,0.05892556509887896,0.015141654364905426
V2C011,esm_if,24,2,0.08333333333333333,0.028116757230940415,0.01956521739130435,0.0,0.6762250000000001,0.050000000000000044,0.0,0.005901687005724761
V2C012,current_bfn_disorder_on,24,20,0.8333333333333334,2.3872824592436195,0.9317168338907471,0.875,0.47911666666666664,0.08974358974358972,0.0,0.012384585648538416
V2C012,current_bfn_disorder_off,24,20,0.8333333333333334,2.33756127820856,0.9227982162764771,0.9166666666666666,0.49214166666666664,0.15705128205128202,0.0,0.009683209874334199
V2C012,stage_a_antibody_bfn,24,20,0.8333333333333334,2.301627337234137,0.911092530657748,0.75,0.48812916666666667,0.1891025641025641,0.0,0.03794158020092239
V2C012,proteinmpnn,24,14,0.5833333333333334,0.35348072512083645,0.20596432552954289,0.8333333333333334,0.5473708333333333,0.6185897435897436,0.1767766952966369,0.0484898038311896
V2C012,esm_if,24,1,0.041666666666666664,0.0,0.0,0.0,0.6261,0.15384615384615385,0.0,0.0
V2C013,current_bfn_disorder_on,24,20,0.8333333333333334,2.361301895997903,0.9296066252587991,1.0,0.3991375,0.09226190476190477,0.0,0.027497342326044484
V2C013,current_bfn_disorder_off,24,20,0.8333333333333334,2.3155385998227986,0.9197722567287786,1.0,0.38555,0.13988095238095236,0.0,0.03503336475111354
V2C013,stage_a_antibody_bfn,24,20,0.8333333333333334,2.35813403482867,0.9226190476190477,1.0,0.4094875,0.16666666666666666,0.0,0.01870327936451828
V2C013,proteinmpnn,24,17,0.7083333333333334,0.43577959053165616,0.281055900621118,1.0,0.30730416666666666,0.41964285714285715,0.10206207261596575,0.05158021203543736
V2C013,esm_if,24,1,0.041666666666666664,0.0,0.0,0.0,0.5825,0.1428571428571429,0.0,0.0
V2C014,current_bfn_disorder_on,24,20,0.8333333333333334,2.409369813004179,0.9347826086956522,1.0,0.38479166666666664,0.0769230769230769,0.0,0.024401201172823475
V2C014,current_bfn_disorder_off,24,20,0.8333333333333334,2.31311553766967,0.9138795986622074,1.0,0.3811583333333333,0.15064102564102563,0.0,0.017231461372429813
V2C014,stage_a_antibody_bfn,24,20,0.8333333333333334,2.3159172850695398,0.9122073578595318,1.0,0.39760833333333334,0.16346153846153844,0.0,0.0077886473480317285
V2C014,proteinmpnn,24,22,0.9166666666666666,0.5332701830800393,0.3539576365663322,1.0,0.30943750000000003,0.516025641025641,0.05892556509887896,0.04307982067981089
V2C014,esm_if,24,7,0.2916666666666667,0.1443285509408841,0.0919732441471572,0.3333333333333333,0.512925,0.24358974358974353,0.15590239111558088,0.05143359041911608
V2C015,current_bfn_disorder_on,24,20,0.8333333333333334,2.392391796063241,0.9328502415458938,0.9166666666666666,0.47818750000000004,0.08888888888888889,0.0,0.007721119958771631
V2C015,current_bfn_disorder_off,24,20,0.8333333333333334,2.3163690624980355,0.9140096618357487,0.9583333333333334,0.4832375,0.13888888888888887,0.0,0.030614372674681783
V2C015,stage_a_antibody_bfn,24,20,0.8333333333333334,2.3012211146915926,0.9154589371980677,0.9583333333333334,0.45194166666666663,0.14166666666666664,0.0,0.07712341139192232
V2C015,proteinmpnn,24,24,1.0,0.44408665795075103,0.2688405797101449,0.9583333333333334,0.5260041666666666,0.3166666666666667,0.0,0.044885241949152783
V2C015,esm_if,24,1,0.041666666666666664,0.0,0.0,0.0,0.6536,0.06666666666666665,0.0,0.0
V2C016,current_bfn_disorder_on,24,20,0.8333333333333334,2.4008953048462853,0.9347826086956522,0.9583333333333334,0.46405416666666666,0.0871212121212121,0.0,0.006834095979491855
V2C016,current_bfn_disorder_off,24,20,0.8333333333333334,2.3338969029270813,0.9232542819499341,0.9166666666666666,0.46717499999999995,0.12878787878787878,0.0,0.03033079664384685
V2C016,stage_a_antibody_bfn,24,20,0.8333333333333334,2.3765364895891645,0.9305006587615285,0.9583333333333334,0.45259166666666667,0.1306818181818182,0.0,0.01392829312759584
V2C016,proteinmpnn,24,24,1.0,0.5336432936107517,0.3367918313570488,1.0,0.3252541666666667,0.38446969696969696,0.0,0.029755021761897194
V2C016,esm_if,24,3,0.125,0.04038682884881118,0.026021080368906456,0.0,0.611325,0.21212121212121213,0.05892556509887896,0.005246970931874428
V2C017,current_bfn_disorder_on,24,20,0.8333333333333334,2.389207658976396,0.9320119352088662,0.5416666666666666,0.49540416666666665,0.11029411764705883,0.0,0.03439534246123424
V2C017,current_bfn_disorder_off,24,20,0.8333333333333334,2.318529372907309,0.9190110826939472,0.625,0.4936875,0.15686274509803924,0.0,0.051066121706560046
V2C017,stage_a_antibody_bfn,24,20,0.8333333333333334,2.268687498843272,0.9092071611253196,0.75,0.46403750000000005,0.18382352941176472,0.0,0.033418941072679134
V2C017,proteinmpnn,24,20,0.8333333333333334,0.27250756481391786,0.16155157715260013,1.0,0.5304333333333333,0.37745098039215685,0.05892556509887896,0.0458890930603557
V2C017,esm_if,24,2,0.08333333333333333,0.016872704885656512,0.009377664109121909,0.0,0.6629,0.004901960784313726,0.05892556509887896,0.01559337231605793
V2C018,current_bfn_disorder_on,24,20,0.8333333333333334,2.383118459798925,0.9319955406911928,1.0,0.4533416666666666,0.10576923076923074,0.0,0.0287658676749577
V2C018,current_bfn_disorder_off,24,20,0.8333333333333334,2.2732766269388724,0.9102564102564102,0.9583333333333334,0.4488666666666667,0.16987179487179485,0.0,0.05653581991131322
V2C018,stage_a_antibody_bfn,24,20,0.8333333333333334,2.280836817579328,0.9091415830546264,0.9166666666666666,0.46789583333333323,0.1762820512820513,0.0,0.03018638474878256
V2C018,proteinmpnn,24,22,0.9166666666666666,0.3559430898134733,0.24247491638795984,1.0,0.3984375,0.266025641025641,0.0,0.04145911520217801
V2C018,esm_if,24,2,0.08333333333333333,0.050889479858306316,0.03762541806020068,0.0,0.6493125000000001,0.2788461538461538,0.0,6.938893903907228e-18
V2C019,current_bfn_disorder_on,24,20,0.8333333333333334,2.4140565397375178,0.9350241545893722,0.75,0.4570166666666666,0.09999999999999998,0.0,0.014216734492037584
V2C019,current_bfn_disorder_off,24,20,0.8333333333333334,2.3445806881440947,0.9229468599033817,0.7916666666666666,0.4509291666666666,0.15277777777777776,0.0,0.04167421799845317
V2C019,stage_a_antibody_bfn,24,20,0.8333333333333334,2.359131208554058,0.9268115942028987,0.7083333333333334,0.4693125,0.13611111111111107,0.0,0.012098973385819608
V2C019,proteinmpnn,24,21,0.875,0.26335614943219543,0.16618357487922703,1.0,0.4569833333333333,0.17499999999999996,0.0,0.018185129589694943
V2C019,esm_if,24,1,0.041666666666666664,0.0,0.0,0.0,0.6589,0.1333333333333333,0.0,0.0
V2C020,current_bfn_disorder_on,24,20,0.8333333333333334,2.440177967791612,0.9384057971014492,0.7916666666666666,0.46055833333333335,0.08012820512820511,0.0,0.01680212098627048
V2C020,current_bfn_disorder_off,24,20,0.8333333333333334,2.362026874027756,0.9247491638795985,0.7083333333333334,0.4568125,0.10576923076923074,0.0,0.012991925121124973
V2C020,stage_a_antibody_bfn,24,20,0.8333333333333334,2.345709449843162,0.9211259754738016,0.7083333333333334,0.4628916666666667,0.1314102564102564,0.0,0.02692865286823985
V2C020,proteinmpnn,24,19,0.7916666666666666,0.39187373674187886,0.2569676700111483,1.0,0.39679166666666665,0.1891025641025641,0.0,0.09443857114275758
V2C020,esm_if,24,3,0.125,0.09517773780416869,0.06159420289855073,0.0,0.6664458333333333,0.07692307692307687,0.05892556509887896,0.0202133833112517
